,,,Diesel,,,,Petrol,,,,Hybrid,,,,CNG,,,,LPG,,,,Unknown,,,,Plug-in Hybrid Electric Vehicle,,,,Battery Electric Vehicle,,,,
Activity,Type,Unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,
Cars (by size),Small car,km,  0.13931,  0.13763 ,  0.000005,  0.001672,  0.1408 ,  0.14012 ,  0.000358,  0.00032 ,  0.1015 ,  0.10049 ,  0.000235,  0.000774,,,,,,,,,0.14037,0.13936,0.00024,0.00077,0.02163,0.02149,0.00008,0.00006,  0.0     ,  0.0     ,  0.0     ,  0.0     ,
,,miles,  0.2242 ,  0.22149 ,  0.000011,  0.002694,  0.2266 ,  0.22551 ,  0.000571,  0.000516,  0.16336,  0.16173 ,  0.000381,  0.001245,,,,,,,,,0.22591,0.22428,0.00038,0.00124,0.03481,0.03458,0.00013,0.00010,  0.0     ,  0.0     ,  0.0     ,  0.0     ,
,Medium car,km,  0.16716,  0.16548 ,  0.000005,  0.001672,  0.17819,  0.17751 ,  0.000358,  0.00032 ,  0.10904,  0.10783 ,  0.000168,  0.00104 ,  0.1566 ,  0.15447,  0.00177,  0.00036,  0.17607,0.17565,0.00006,0.00036,0.17246,0.17125,0.00017,0.00104,0.06144,0.06100,0.00025,0.00020,  0.0     ,  0.0     ,  0.0     ,  0.0     ,
,,miles,  0.26902,  0.26631 ,  0.000011,  0.002694,  0.28676,  0.28567 ,  0.000571,  0.000516,  0.17549,  0.17354 ,  0.000269,  0.001681,  0.25203,  0.2486 ,  0.00286,  0.00058,  0.28336,0.28269,0.00009,0.00058,0.27754,0.27559,0.00027,0.00168,0.09887,0.09816,0.00040,0.00031,  0.0     ,  0.0     ,  0.0     ,  0.0     ,
,Large car,km,  0.20859,  0.20691 ,  0.000005,  0.001672,  0.27224,  0.27156 ,  0.000358,  0.00032 ,  0.15244,  0.15101 ,  0.000101,  0.001325,  0.23845,  0.23632,  0.00177,  0.00036,  0.26914,0.26872,0.00006,0.00036,0.22612,0.22469,0.00010,0.00133,0.07082,0.07032,0.00028,0.00022,  0.0     ,  0.0     ,  0.0     ,  0.0     ,
,,miles,  0.3357 ,  0.33299 ,  0.000011,  0.002694,  0.43812,  0.43703 ,  0.000571,  0.000516,  0.2453 ,  0.24302 ,  0.000157,  0.002125,  0.38375,  0.38032,  0.00286,  0.00058,  0.43314,0.43247,0.00009,0.00058,0.36389,0.36161,0.00016,0.00213,0.11397,0.11317,0.00045,0.00036,  0.0     ,  0.0     ,  0.0     ,  0.0     ,
,Average car,km,  0.16983,  0.16815 ,  0.000005,  0.001672,  0.16391,  0.16323 ,  0.000358,  0.00032 ,  0.11898,  0.11781 ,  0.00019 ,  0.000978,  0.17504,  0.17291,  0.00177,  0.00036,  0.19704,0.19662,0.00006,0.00036,0.16664,0.16547,0.00019,0.00098,0.06588,0.06542,0.00026,0.00020,  0.0     ,  0.0     ,  0.0     ,  0.0     ,
,,miles,  0.27332,  0.27061 ,  0.000011,  0.002694,  0.26379,  0.2627  ,  0.000571,  0.000516,  0.19147,  0.1896  ,  0.000302,  0.001565,  0.2817 ,  0.27827,  0.00286,  0.00058,  0.3171 ,0.31643,0.00009,0.00058,0.26817,0.26630,0.00030,0.00157,0.10601,0.10528,0.00041,0.00032,  0.0     ,  0.0     ,  0.0     ,  0.0     ,
